scheme,threshold,repeat,query_id,group,latency_us,matched,best_distance,records_examined,bits_compared
fuzzydedup,4,0,enron_full_101177,verify,3237.122,1,0,59927,3835520
fuzzydedup,6,0,enron_full_106973,verify,4201.310,1,0,91642,5865280
fuzzydedup,4,0,enron_full_106973,verify,3395.352,1,0,64472,4126400
fuzzydedup,5,0,enron_full_106973,verify,3594.755,1,0,78294,5011008
fuzzydedup,4,0,enron_full_109757,verify,4211.860,0,5,113227,7246528
fuzzydedup,5,0,enron_full_109757,verify,5177.630,0,6,136629,8744256
fuzzydedup,6,0,enron_full_109757,verify,5817.852,0,7,159258,10192512
fuzzydedup,5,0,enron_full_110469,verify,3475.809,1,0,78211,5005696
fuzzydedup,6,0,enron_full_110469,verify,3548.152,1,0,91559,5859968
fuzzydedup,4,0,enron_full_110469,verify,3359.571,1,0,64389,4121088
fuzzydedup,6,0,enron_full_111900,verify,6858.250,0,7,190614,12199296
fuzzydedup,4,0,enron_full_111900,verify,5121.284,0,5,137103,8774592
fuzzydedup,5,0,enron_full_111900,verify,6387.513,0,6,164671,10538944
fuzzydedup,4,0,enron_full_115573,verify,3367.090,1,0,67099,4294528
fuzzydedup,5,0,enron_full_115573,verify,3786.786,1,0,81482,5215040
fuzzydedup,6,0,enron_full_115573,verify,4028.175,1,0,95304,6099648
fuzzydedup,5,0,enron_full_123239,verify,1996.400,1,0,39966,2558016
fuzzydedup,6,0,enron_full_123239,verify,2068.446,1,0,44568,2852736
fuzzydedup,4,0,enron_full_123239,verify,1580.697,1,0,34318,2196544
fuzzydedup,6,0,enron_full_127977,verify,6134.568,0,7,169255,10832320
fuzzydedup,4,0,enron_full_127977,verify,4600.573,0,5,120641,7721024
fuzzydedup,5,0,enron_full_127977,verify,5384.814,0,6,145606,9318784
fuzzydedup,4,0,enron_full_128084,verify,5655.157,0,5,121972,7806208
fuzzydedup,5,0,enron_full_128084,verify,5802.698,0,6,147636,9448704
fuzzydedup,6,0,enron_full_128084,verify,7121.578,0,7,172289,11026496
fuzzydedup,5,0,enron_full_138704,verify,2650.702,1,0,57425,3675392
fuzzydedup,6,0,enron_full_138704,verify,3128.188,1,0,64855,4150912
fuzzydedup,4,0,enron_full_138704,verify,2377.743,1,0,48867,3127680
fuzzydedup,6,0,enron_full_144326,verify,4278.042,1,0,91667,5866880
fuzzydedup,4,0,enron_full_144326,verify,3691.909,1,0,63462,4061760
fuzzydedup,5,0,enron_full_144326,verify,3864.061,1,0,77845,4982272
fuzzydedup,4,0,enron_full_145285,verify,3876.957,0,5,92244,5903616
fuzzydedup,5,0,enron_full_145285,verify,5612.544,0,6,113036,7234304
fuzzydedup,6,0,enron_full_145285,verify,5857.958,0,7,133357,8534848
fuzzydedup,5,0,enron_full_146406,verify,3291.454,1,0,73449,4700928
fuzzydedup,6,0,enron_full_146406,verify,3359.738,1,0,84131,5384576
fuzzydedup,4,0,enron_full_146406,verify,2760.847,1,0,61642,3945280
fuzzydedup,6,0,enron_full_149634,verify,668.217,1,0,8966,574016
